shot_id,scene_id,size,angle,movement,lens_focus,subject_action,dialogue_cue,light_intent,sound_cue,duration_s,transition_out,notes
SC004-SH001,SC004,WS,eye,static,wide/deep,"Meiling wipes the counter; stuck-open door and steaming bowl share the frame",,"fluorescent practical plus cooler spill",hum + rain,5,cut,"establish camera on cooler side of doorway-counter axis; Meiling screen-left / Kai entrance screen-right"
SC004-SH002,SC004,INSERT,eye,static,normal/deep,"The notice reads 明日六点交接; Kai's finger enters frame",,"street practical reflected in glass",rain,3,cut,"deadline visible; same axis side"
SC004-SH003,SC004,MCU,eye,static,normal/shallow,"Meiling keeps wiping and does not turn toward Kai","MEILING: 关东煮在窗边。拿了走吧。","fluorescent practical with cooler fill",hum + rain,4,cut,"Meiling's eyeline stays down and frame-right"
SC004-SH004,SC004,MS,eye,static,normal/deep,"Kai fills the doorway but keeps both feet outside","KAI: 天亮就交？","street backlight motivated by sign and doorway",rain louder at open door,4,cut,"Kai screen-right looking frame-left; camera remains on established side"
SC004-SH005,SC004,MCU,eye,static,normal/shallow,"Meiling answers and opens the tap","MEILING: 六点。","fluorescent practical with cooler fill",tap starts,3,cut,"matching frame-right eyeline; threshold geography preserved"
SC004-SH006,SC004,MCU,eye,static,long/shallow,"Kai looks toward her hands without crossing the threshold","KAI: 你妈……","street backlight with cooler edge",tap + rain,4,cut,"same-side single; withheld eyeline match remains coherent"
SC004-SH007,SC004,INSERT,top,static,normal/deep,"Meiling wrings the cloth; both hands stop above the basin","MEILING: 她去年走的。","fluorescent and cooler practicals",tap + room tone,4,cut,"body answers before face; water direction continuous"
SC004-SH008,SC004,CU,eye,static,long/shallow,"Kai waits through the kettle tick, then says her name","KAI: 美玲。","street backlight with cooler edge",kettle tick then voice,3,cut,"Kai stays outside and looks frame-left"
SC004-SH009,SC004,CU,eye,static,long/shallow,"Meiling presses the chipped counter and shuts off the tap before answering","MEILING: 别叫。十二岁以后，我就没爸了。","fluorescent practical with cooler fill",tap cuts to hum,5,cut,"spoken acknowledgment completes INFO-001 reveal; she looks frame-right"
SC004-SH010,SC004,CU,eye,dolly_in,long/shallow,"Her reflected eyes lift to Kai while her shoulders stay square; the cloth drops into the basin",,"fluorescent and cooler practicals",hum + rain,5,cut,"only camera move; reflection preserves axis and lands the new acknowledged state"
